nome,cpf,uf,idade,renda_estimada,ticket_credito,situacao,score_faixa,dias_para_vencimento,produtos_ativos,ultimo_produto_adquirido,status_atividade,canal_preferido
Patricia Ferreira,***.973.503-46,AL,36,5390,899.79,adimplente,Alto,354,1,Seguro,ativo,Agencia
Wesley Almeida,***.599.906-84,MG,39,1660,381.40,adimplente,Medio,302,4,Cartao de debito,inativo,App
Antonio Pereira,***.678.515-41,MG,22,2250,1096.11,restrito,Baixo,0,1,Financiamento,inativo,App
Tatiane Barbosa,***.501.765-35,RJ,22,5690,380.78,adimplente,Alto,19,2,Emprestimo pessoal,ativo,WhatsApp
Vanessa Monteiro,***.426.270-85,RS,36,2260,483.54,restrito,Baixo,0,1,Financiamento,ativo,WhatsApp
Renata Pinto,***.681.999-31,AL,62,1440,609.09,restrito,Baixo,0,2,Conta digital,inativo,WhatsApp
Sandra Rodrigues,***.327.800-34,GO,28,2270,1382.55,adimplente,Alto,224,1,Conta digital,ativo,WhatsApp
Luiz Barbosa,***.822.859-15,PR,44,3280,380.31,adimplente,Medio,7,4,Seguro,ativo,WhatsApp
Marcio Freitas,***.484.991-29,MT,50,1930,620.15,restrito,Baixo,0,1,Conta digital,ativo,App
Mariana Cavalcanti,***.469.515-57,PA,32,2330,635.74,adimplente,Medio,237,1,Cartao de debito,inativo,WhatsApp
Daniel Costa,***.871.467-94,AL,39,5680,511.55,adimplente,Medio,132,4,Financiamento,ativo,App
Felipe Moreira,***.885.229-12,MG,33,2610,2042.00,adimplente,Baixo,42,2,Cartao de debito,ativo,WhatsApp
Gabriel Dias,***.970.718-53,MG,27,5200,715.43,restrito,Baixo,0,2,Seguro,ativo,App
Carlos Teixeira,***.992.439-67,PE,42,1200,1223.58,restrito,Baixo,0,1,Cartao de debito,ativo,Agencia
Thiago Pinto,***.464.446-29,PR,49,3280,864.82,adimplente,Medio,53,1,Cartao de debito,inativo,WhatsApp
Sergio Moreira,***.292.994-92,PE,63,3060,361.93,restrito,Baixo,0,1,Cartao de credito,ativo,WhatsApp
Roberto Gomes,***.753.763-86,PE,34,3010,492.95,adimplente,Alto,299,3,Conta digital,inativo,WhatsApp
Adriana Rocha,***.123.516-71,SP,36,2870,557.68,adimplente,Medio,61,3,Emprestimo pessoal,ativo,WhatsApp
Camila Barros,***.530.572-86,RJ,43,2800,1782.63,restrito,Baixo,0,2,Cartao de debito,ativo,App
Leandro Cavalcanti,***.532.336-65,AP,75,4120,645.56,adimplente,Medio,312,1,Financiamento,ativo,App
Aline Monteiro,***.592.912-49,RS,67,1660,307.06,adimplente,Alto,48,1,Investimento,ativo,WhatsApp
Carlos Rodrigues,***.415.160-72,PA,19,1930,431.67,adimplente,Medio,136,2,Cartao de debito,ativo,WhatsApp
Sandra Nascimento,***.355.445-61,AL,46,2630,641.30,adimplente,Alto,1,1,Emprestimo pessoal,inativo,WhatsApp
Juliana Santos,***.854.903-58,PR,43,13780,448.78,adimplente,Medio,292,3,Cartao de credito,ativo,WhatsApp
Bruno Pinto,***.744.152-40,SC,24,6250,348.13,adimplente,Medio,326,4,Seguro,ativo,WhatsApp
Renata Costa,***.303.343-62,GO,22,7290,442.31,restrito,Medio,0,1,Cartao de debito,ativo,WhatsApp
Mariana Almeida,***.663.631-73,PB,27,3860,2263.92,adimplente,Medio,234,1,Cartao de debito,ativo,WhatsApp
Mariana Silva,***.472.819-55,RJ,45,2750,959.36,adimplente,Medio,35,1,Cartao de debito,ativo,WhatsApp
Igor Lima,***.753.754-90,SP,74,3990,479.21,restrito,Baixo,0,3,Seguro,ativo,WhatsApp
Beatriz Freitas,***.342.640-46,BA,37,4250,688.09,adimplente,Alto,24,1,Financiamento,ativo,WhatsApp
Eduardo Costa,***.168.368-99,RJ,32,2880,1005.00,adimplente,Medio,99,1,Cartao de credito,ativo,Agencia
Aline Pinto,***.272.114-63,MG,64,2740,833.49,adimplente,Medio,206,1,Financiamento,ativo,WhatsApp
Bruno Araujo,***.469.326-35,SC,27,3770,562.13,adimplente,Alto,103,2,Cartao de debito,inativo,Agencia
Sabrina Ferreira,***.887.500-21,SP,30,3550,651.01,adimplente,Medio,265,4,Emprestimo pessoal,ativo,WhatsApp
Bruno Mendes,***.303.506-15,SP,37,6750,2218.46,restrito,Medio,0,1,Cartao de debito,ativo,Telefone
Larissa Santos,***.875.879-19,AL,39,5050,498.13,restrito,Medio,0,1,Investimento,ativo,Agencia
Sergio Cavalcanti,***.819.735-46,MG,45,5200,784.10,adimplente,Medio,289,2,Seguro,ativo,WhatsApp
Amanda Barbosa,***.559.535-65,MS,32,2570,492.54,adimplente,Medio,19,2,Investimento,inativo,App
Mariana Rocha,***.626.863-76,RS,38,3070,1014.14,adimplente,Alto,224,1,Cartao de debito,inativo,WhatsApp
Bruna Carvalho,***.430.628-97,MG,28,4060,721.06,adimplente,Baixo,315,2,Cartao de debito,ativo,Agencia
Vinicius Souza,***.306.873-61,CE,33,6210,1628.52,adimplente,Baixo,195,2,Cartao de credito,ativo,Agencia
Maria Teixeira,***.799.741-90,SP,45,3450,766.69,adimplente,Alto,190,1,Investimento,ativo,WhatsApp
Bruno Ferreira,***.305.361-14,PE,22,2390,768.95,adimplente,Medio,31,1,Financiamento,inativo,WhatsApp
Jose Barros,***.456.522-71,PI,38,2200,438.37,adimplente,Alto,317,1,Cartao de credito,ativo,Agencia
Rodrigo Moreira,***.261.904-97,MA,23,5430,300.44,restrito,Baixo,0,1,Conta digital,ativo,WhatsApp
Rodrigo Freitas,***.461.720-93,SP,46,12770,856.90,restrito,Medio,0,1,Investimento,ativo,App
Lucas Monteiro,***.462.562-70,PE,45,1810,462.49,adimplente,Medio,364,2,Financiamento,ativo,WhatsApp
Paulo Cavalcanti,***.448.793-50,RS,18,4740,519.79,adimplente,Medio,160,1,Conta digital,inativo,App
Daniel Ferreira,***.826.772-61,PE,21,3300,315.96,restrito,Baixo,0,2,Investimento,ativo,WhatsApp
Carlos Correia,***.930.994-23,RN,46,4030,253.97,adimplente,Medio,181,3,Cartao de credito,ativo,WhatsApp
Gustavo Nascimento,***.469.690-85,SP,23,3910,276.90,adimplente,Alto,2,3,Cartao de debito,ativo,WhatsApp
Vinicius Mendes,***.153.631-51,RJ,37,1350,1096.81,adimplente,Medio,99,3,Financiamento,ativo,WhatsApp
